"filename", "language", "PHP", "HTML", "JavaScript", "JSON", "CSS", "XML", "Markdown", "Shell Script", "YAML", "Ini", "comment", "blank", "total"
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\prettify\lang-tex.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\prettify\lang-vb.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\prettify\lang-vhdl.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\prettify\lang-wiki.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\prettify\lang-xq.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\prettify\lang-yaml.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\prettify\prettify.min.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\sidebar.js", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 3, 9, 46
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\js\template.js", "JavaScript", 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 20, 23, 186
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\markers.html", "HTML", 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 98
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\namespaces\global(1).html", "HTML", 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 110
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\namespaces\global.html", "HTML", 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 110
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\packages\PHPMailer.html", "HTML", 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 116
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\docs\phpdoc\structure.xml", "XML", 0, 0, 0, 0, 0, 3761, 0, 0, 0, 0, 0, 19, 3780
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\enviaremail(1).php", "PHP", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 51
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\enviaremail.php", "PHP", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 51
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\examples\contents.html", "HTML", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\examples\index.html", "HTML", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 51
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\examples\test_db_smtp_basic.php", "PHP", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 59
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\examples\test_mail_advanced.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\examples\test_mail_basic.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 42
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\examples\test_pop_before_smtp_advanced.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 40
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\examples\test_pop_before_smtp_basic.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 50
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\examples\test_sendmail_advanced.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\examples\test_sendmail_basic.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 44
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\examples\test_smtp_advanced.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 43
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\examples\test_smtp_advanced_no_auth.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 37
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\examples\test_smtp_basic.php", "PHP", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18, 59
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\examples\test_smtp_basic_no_auth.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18, 54
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\examples\test_smtp_gmail_advanced.php", "PHP", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 43
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\examples\test_smtp_gmail_basic.php", "PHP", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18, 60
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\extras\htmlfilter.php", "PHP", 507, 0, 0, 0, 0, 0, 0, 0, 0, 0, 323, 32, 862
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\extras\ntlm_sasl_client.php", "PHP", 164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 10, 185
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\formemail(1).php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\formemail.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\language\phpmailer.lang-ar.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 2, 28
"c:\Users\alves\Downloads\integracao-20231026T180259Z-001\integracao\class\mod01\PHPMailer_5.2.4\language\phpmailer.lang-br.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 2, 27
